target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
 -13.17,  -0.26,   0.40, time =   14.90
 -13.15,  -0.27,   0.26, time =   15.00
 -13.11,  -0.27,   0.10, time =   15.10
 -13.08,  -0.25,   0.08, time =   15.20
 -13.05,  -0.22,   0.09, time =   15.30
 -13.03,  -0.16,   0.11, time =   15.40
 -13.01,  -0.09,   0.09, time =   15.50
 -13.00,  -0.02,   0.07, time =   15.60
 -12.99,   0.06,   0.04, time =   15.70
 -12.99,   0.14,  -0.03, time =   15.80
 -13.00,   0.20,  -0.13, time =   15.90
 -13.00,   0.26,  -0.23, time =   16.00
 -13.01,   0.31,  -0.33, time =   16.10
 -13.02,   0.35,  -0.39, time =   16.20
 -13.02,   0.38,  -0.42, time =   16.30
 -13.03,   0.41,  -0.42, time =   16.40
 -13.03,   0.44,  -0.39, time =   16.50
 -13.03,   0.47,  -0.34, time =   16.60
 -13.02,   0.50,  -0.27, time =   16.70
 -13.00,   0.53,  -0.19, time =   16.80
 -12.98,   0.55,  -0.10, time =   16.90
 -12.95,   0.57,  -0.04, time =   17.00
 -12.92,   0.58,  -0.02, time =   17.10
 -12.89,   0.58,  -0.01, time =   17.20
 -12.86,   0.56,  -0.00, time =   17.30
 -12.83,   0.53,  -0.07, time =   17.40
 -12.81,   0.49,  -0.08, time =   17.50
 -12.79,   0.43,  -0.05, time =   17.60
 -12.78,   0.37,  -0.01, time =   17.70
 -12.77,   0.31,   0.02, time =   17.80
 -12.76,   0.24,   0.04, time =   17.90
 -12.76,   0.18,   0.06, time =   18.00
 -12.76,   0.11,   0.07, time =   18.10
 -12.76,   0.05,   0.09, time =   18.20
 -12.76,  -0.02,   0.10, time =   18.30
 -12.76,  -0.08,   0.12, time =   18.40
 -12.76,  -0.14,   0.14, time =   18.50
 -12.75,  -0.20,   0.18, time =   18.60
 -12.74,  -0.24,   0.23, time =   18.70
 -12.72,  -0.28,   0.29, time =   18.80
 -12.69,  -0.30,   0.27, time =   18.90
 -12.66,  -0.31,   0.15, time =   19.00
 -12.63,  -0.31,   0.00, time =   19.10
 -12.59,  -0.30,  -0.02, time =   19.20
 -12.56,  -0.26,  -0.00, time =   19.30
 -12.54,  -0.21,   0.01, time =   19.40
 -12.52,  -0.15,  -0.01, time =   19.50
 -12.51,  -0.08,  -0.03, time =   19.60
 -12.50,  -0.01,  -0.07, time =   19.70
 -12.50,   0.05,  -0.13, time =   19.80
 -12.50,   0.11,  -0.22, time =   19.90
 -12.51,   0.17,  -0.31, time =   20.00
 -12.51,   0.21,  -0.37, time =   20.10
 -12.52,   0.25,  -0.41, time =   20.20
 -12.53,   0.29,  -0.41, time =   20.30
