target position:   -9.00,   2.25
swimmer initial position:  -12.00,  -2.25,   0.00
 -11.60,  -0.23,  -0.00, time =   17.04
 -11.60,  -0.30,  -0.01, time =   17.14
 -11.59,  -0.36,   0.00, time =   17.24
 -11.58,  -0.42,   0.02, time =   17.34
 -11.56,  -0.47,   0.03, time =   17.44
 -11.54,  -0.51,   0.03, time =   17.54
 -11.51,  -0.53,   0.05, time =   17.64
 -11.48,  -0.54,   0.11, time =   17.74
 -11.44,  -0.53,   0.15, time =   17.84
 -11.41,  -0.50,   0.19, time =   17.94
 -11.38,  -0.46,   0.21, time =   18.04
 -11.36,  -0.40,   0.22, time =   18.14
 -11.34,  -0.32,   0.20, time =   18.24
 -11.33,  -0.25,   0.15, time =   18.34
 -11.32,  -0.17,   0.08, time =   18.44
 -11.32,  -0.09,   0.01, time =   18.54
 -11.32,  -0.02,  -0.06, time =   18.64
 -11.32,   0.05,  -0.13, time =   18.74
 -11.33,   0.11,  -0.14, time =   18.84
 -11.33,   0.17,  -0.08, time =   18.94
 -11.32,   0.24,  -0.01, time =   19.04
 -11.32,   0.31,   0.02, time =   19.14
 -11.31,   0.37,   0.03, time =   19.24
 -11.29,   0.43,   0.02, time =   19.34
 -11.27,   0.48,  -0.01, time =   19.44
 -11.24,   0.51,  -0.06, time =   19.54
 -11.21,   0.53,  -0.14, time =   19.64
 -11.18,   0.52,  -0.17, time =   19.74
 -11.14,   0.50,  -0.14, time =   19.84
 -11.11,   0.47,  -0.09, time =   19.94
 -11.08,   0.42,  -0.04, time =   20.04
 -11.06,   0.36,  -0.10, time =   20.14
 -11.05,   0.29,  -0.17, time =   20.24
 -11.04,   0.21,  -0.19, time =   20.34
 -11.03,   0.12,  -0.17, time =   20.44
 -11.03,   0.04,  -0.12, time =   20.54
 -11.04,  -0.05,  -0.06, time =   20.64
 -11.04,  -0.12,  -0.02, time =   20.74
 -11.04,  -0.20,  -0.01, time =   20.84
 -11.04,  -0.27,  -0.01, time =   20.94
 -11.03,  -0.33,   0.00, time =   21.04
 -11.03,  -0.39,   0.03, time =   21.14
 -11.01,  -0.45,   0.05, time =   21.24
 -10.99,  -0.49,   0.05, time =   21.34
 -10.97,  -0.53,   0.05, time =   21.44
 -10.94,  -0.55,   0.09, time =   21.54
 -10.91,  -0.55,   0.15, time =   21.64
 -10.87,  -0.54,   0.19, time =   21.74
 -10.84,  -0.50,   0.22, time =   21.84
 -10.81,  -0.45,   0.23, time =   21.94
 -10.79,  -0.39,   0.21, time =   22.04
 -10.77,  -0.32,   0.15, time =   22.14
 -10.76,  -0.24,   0.06, time =   22.24
 -10.75,  -0.17,  -0.01, time =   22.34
 -10.75,  -0.10,  -0.02, time =   22.44
 -10.75,  -0.03,  -0.04, time =   22.54
 -10.75,   0.04,  -0.08, time =   22.64
 -10.76,   0.11,  -0.07, time =   22.74
 -10.76,   0.18,  -0.01, time =   22.84
 -10.76,   0.25,   0.04, time =   22.94
 -10.75,   0.32,   0.05, time =   23.04
 -10.74,   0.38,   0.03, time =   23.14
 -10.72,   0.44,  -0.01, time =   23.24
 -10.70,   0.49,  -0.06, time =   23.34
 -10.67,   0.51,  -0.13, time =   23.44
 -10.64,   0.52,  -0.22, time =   23.54
 -10.60,   0.51,  -0.24, time =   23.64
 -10.57,   0.47,  -0.19, time =   23.74
 -10.54,   0.43,  -0.11, time =   23.84
 -10.51,   0.38,  -0.06, time =   23.94
 -10.49,   0.32,  -0.12, time =   24.04
 -10.47,   0.24,  -0.17, time =   24.14
 -10.47,   0.15,  -0.17, time =   24.24
 -10.47,   0.07,  -0.14, time =   24.34
 -10.47,  -0.02,  -0.10, time =   24.44
 -10.47,  -0.10,  -0.05, time =   24.54
 -10.47,  -0.17,  -0.00, time =   24.64
 -10.48,  -0.24,   0.01, time =   24.74
 -10.47,  -0.31,   0.02, time =   24.84
 -10.47,  -0.37,   0.04, time =   24.94
 -10.46,  -0.43,   0.07, time =   25.04
 -10.45,  -0.48,   0.09, time =   25.14
 -10.43,  -0.52,   0.09, time =   25.24
 -10.40,  -0.55,   0.08, time =   25.34
 -10.37,  -0.57,   0.13, time =   25.44
 -10.34,  -0.57,   0.18, time =   25.54
 -10.31,  -0.55,   0.20, time =   25.64
 -10.28,  -0.51,   0.21, time =   25.74
 -10.25,  -0.46,   0.20, time =   25.84
 -10.22,  -0.40,   0.14, time =   25.94
 -10.21,  -0.33,   0.03, time =   26.04
 -10.19,  -0.27,  -0.08, time =   26.14
 -10.19,  -0.21,  -0.11, time =   26.24
 -10.19,  -0.14,  -0.08, time =   26.34
 -10.19,  -0.07,  -0.04, time =   26.44
 -10.19,  -0.00,  -0.00, time =   26.54
 -10.19,   0.07,   0.02, time =   26.64
 -10.19,   0.15,   0.05, time =   26.74
 -10.19,   0.22,   0.08, time =   26.84
 -10.19,   0.30,   0.05, time =   26.94
 -10.18,   0.36,  -0.01, time =   27.04
 -10.16,   0.42,  -0.10, time =   27.14
 -10.14,   0.45,  -0.17, time =   27.24
 -10.11,   0.47,  -0.22, time =   27.34
 -10.07,   0.48,  -0.28, time =   27.44
 -10.04,   0.45,  -0.32, time =   27.54
 -10.00,   0.42,  -0.21, time =   27.64
  -9.97,   0.37,  -0.12, time =   27.74
  -9.94,   0.31,  -0.06, time =   27.84
  -9.92,   0.24,  -0.09, time =   27.94
  -9.91,   0.16,  -0.13, time =   28.04
  -9.91,   0.08,  -0.12, time =   28.14
  -9.91,  -0.01,  -0.10, time =   28.24
  -9.91,  -0.09,  -0.06, time =   28.34
  -9.92,  -0.17,   0.01, time =   28.44
  -9.92,  -0.24,   0.04, time =   28.54
  -9.93,  -0.31,   0.06, time =   28.64
  -9.93,  -0.37,   0.07, time =   28.74
  -9.92,  -0.42,   0.08, time =   28.84
  -9.92,  -0.48,   0.10, time =   28.94
  -9.90,  -0.52,   0.10, time =   29.04
  -9.89,  -0.56,   0.09, time =   29.14
  -9.86,  -0.59,   0.09, time =   29.24
  -9.83,  -0.60,   0.13, time =   29.34
  -9.80,  -0.60,   0.18, time =   29.44
  -9.77,  -0.59,   0.19, time =   29.54
  -9.74,  -0.55,   0.21, time =   29.64
  -9.71,  -0.50,   0.20, time =   29.74
  -9.69,  -0.45,   0.15, time =   29.84
  -9.67,  -0.38,   0.04, time =   29.94
  -9.66,  -0.32,  -0.09, time =   30.04
  -9.65,  -0.26,  -0.14, time =   30.14
  -9.65,  -0.20,  -0.12, time =   30.24
  -9.65,  -0.14,  -0.07, time =   30.34
  -9.65,  -0.07,  -0.00, time =   30.44
  -9.66,   0.01,   0.05, time =   30.54
  -9.66,   0.09,   0.08, time =   30.64
  -9.66,   0.17,   0.12, time =   30.74
  -9.66,   0.25,   0.11, time =   30.84
  -9.65,   0.32,   0.03, time =   30.94
  -9.63,   0.38,  -0.05, time =   31.04
  -9.61,   0.43,  -0.12, time =   31.14
  -9.58,   0.46,  -0.17, time =   31.24
  -9.55,   0.47,  -0.20, time =   31.34
  -9.51,   0.46,  -0.21, time =   31.44
  -9.47,   0.43,  -0.11, time =   31.54
  -9.44,   0.40,  -0.04, time =   31.64
  -9.41,   0.34,  -0.03, time =   31.74
  -9.39,   0.28,  -0.08, time =   31.84
  -9.38,   0.20,  -0.12, time =   31.94
  -9.37,   0.12,  -0.12, time =   32.04
  -9.37,   0.03,  -0.11, time =   32.14
  -9.37,  -0.05,  -0.09, time =   32.24
  -9.38,  -0.13,  -0.04, time =   32.34
  -9.39,  -0.21,   0.01, time =   32.44
  -9.39,  -0.28,   0.04, time =   32.54
  -9.39,  -0.34,   0.07, time =   32.64
  -9.39,  -0.40,   0.09, time =   32.74
  -9.38,  -0.45,   0.11, time =   32.84
  -9.37,  -0.50,   0.12, time =   32.94
  -9.36,  -0.54,   0.13, time =   33.04
  -9.33,  -0.57,   0.15, time =   33.14
  -9.30,  -0.58,   0.15, time =   33.24
  -9.27,  -0.58,   0.19, time =   33.34
  -9.24,  -0.57,   0.19, time =   33.44
  -9.21,  -0.54,   0.21, time =   33.54
  -9.18,  -0.49,   0.23, time =   33.64
  -9.15,  -0.43,   0.20, time =   33.74
  -9.13,  -0.36,   0.11, time =   33.84
  -9.12,  -0.29,  -0.03, time =   33.94
  -9.11,  -0.22,  -0.10, time =   34.04
  -9.11,  -0.16,  -0.09, time =   34.14
  -9.11,  -0.09,  -0.05, time =   34.24
  -9.12,  -0.02,  -0.01, time =   34.34
  -9.12,   0.06,   0.01, time =   34.44
  -9.13,   0.13,   0.01, time =   34.54
  -9.13,   0.21,   0.03, time =   34.64
  -9.13,   0.28,   0.03, time =   34.74
  -9.12,   0.34,  -0.02, time =   34.84
  -9.10,   0.40,  -0.08, time =   34.94
  -9.08,   0.45,  -0.11, time =   35.04
  -9.06,   0.48,  -0.13, time =   35.14
  -9.02,   0.50,  -0.14, time =   35.24
  -8.98,   0.50,  -0.09, time =   35.34
  -8.94,   0.49,  -0.03, time =   35.44
  -8.91,   0.46,  -0.03, time =   35.54
  -8.88,   0.41,  -0.06, time =   35.64
  -8.86,   0.35,  -0.12, time =   35.74
  -8.84,   0.27,  -0.15, time =   35.84
  -8.83,   0.19,  -0.16, time =   35.94
  -8.83,   0.10,  -0.14, time =   36.04
  -8.84,   0.01,  -0.13, time =   36.14
  -8.84,  -0.08,  -0.11, time =   36.24
  -8.85,  -0.16,  -0.06, time =   36.34
  -8.85,  -0.23,   0.00, time =   36.44
  -8.86,  -0.30,   0.07, time =   36.54
  -8.86,  -0.36,   0.11, time =   36.64
  -8.85,  -0.41,   0.14, time =   36.74
  -8.84,  -0.46,   0.17, time =   36.84
  -8.83,  -0.50,   0.21, time =   36.94
  -8.81,  -0.52,   0.26, time =   37.04
  -8.78,  -0.53,   0.29, time =   37.14
  -8.75,  -0.53,   0.30, time =   37.24
  -8.72,  -0.52,   0.23, time =   37.34
  -8.68,  -0.49,   0.24, time =   37.44
  -8.65,  -0.43,   0.26, time =   37.54
  -8.62,  -0.36,   0.25, time =   37.64
  -8.60,  -0.29,   0.14, time =   37.74
  -8.59,  -0.21,  -0.02, time =   37.84
  -8.59,  -0.14,  -0.05, time =   37.94
  -8.59,  -0.07,  -0.05, time =   38.04
  -8.59,   0.01,  -0.03, time =   38.14
  -8.59,   0.08,  -0.02, time =   38.24
  -8.60,   0.15,  -0.03, time =   38.34
  -8.61,   0.22,  -0.04, time =   38.44
  -8.61,   0.29,  -0.04, time =   38.54
  -8.61,   0.36,  -0.05, time =   38.64
  -8.60,   0.42,  -0.08, time =   38.74
  -8.59,   0.47,  -0.11, time =   38.84
  -8.57,   0.51,  -0.12, time =   38.94
  -8.55,   0.54,  -0.11, time =   39.04
  -8.52,   0.57,  -0.06, time =   39.14
  -8.49,   0.58,   0.03, time =   39.24
  -8.45,   0.59,   0.07, time =   39.34
  -8.41,   0.57,   0.02, time =   39.44
  -8.38,   0.54,  -0.07, time =   39.54
  -8.36,   0.48,  -0.14, time =   39.64
  -8.34,   0.41,  -0.20, time =   39.74
  -8.33,   0.33,  -0.24, time =   39.84
  -8.32,   0.24,  -0.27, time =   39.94
  -8.33,   0.14,  -0.27, time =   40.04
  -8.33,   0.05,  -0.26, time =   40.14
  -8.34,  -0.05,  -0.25, time =   40.24
  -8.35,  -0.14,  -0.17, time =   40.34
  -8.36,  -0.23,  -0.03, time =   40.44
  -8.36,  -0.29,   0.11, time =   40.54
  -8.36,  -0.35,   0.18, time =   40.64
  -8.35,  -0.40,   0.24, time =   40.74
  -8.34,  -0.43,   0.29, time =   40.84
